abbr_name,full_name,credits,semester,school
BSCI 416,Cell Structure and Function,3,Fall2023,1
BSCI 421,Topics Applied Biol Science:,3,Fall2023,1
BSCI 430,Molecular Biology Laboratory,3,Fall2023,1
BSCI 490,Internshp & Practicl Applicatn,6,Fall2023,1
BSCI 503,Immunology,3,Fall2023,1
BSCI 546,Mammalian Physiology,3,Fall2023,1
BSCI 600,Biochemistry,3,Fall2023,1
BTEC 300,Research Methods in Biotech,3,Fall2023,1
BTEC 305,Molecular & Microbiologic Tech,4,Fall2023,1
BTEC 310,Scientific Communications,3,Fall2023,1
BTEC 424,Independent Stdy Biotechnology,3,Fall2023,1
BTEC 501,Biotech Ethics & Resp Cond Res,3,Fall2023,1
BTEC 540,Biotechnology Capstone I,3,Fall2023,1
BTEC 550,Applied Bioinformatics,2,Fall2023,1
BTEC 599,Biotechnology Internship,6,Fall2023,1
BUS 110,Intro to Professionalism,1,Fall2023,1
BUS 120,Emerging Topics in Business,1,Fall2023,1
BUS 150,Foundations of Business,3,Fall2023,1
BUS 177,First Year Seminar in Business,3,Fall2023,1
BUS 200,Business Leadership Seminar,1,Fall2023,1
BUS 210,Career Management & Planning,1,Fall2023,1
BUS 300,Special Topics in Business:,3,Fall2023,1
BUS 305,Business Writing,3,Fall2023,1
BUS 310,Internships with Impact,3,Fall2023,1
BUS 410,Professionalism Capstone,1,Fall2023,1
C&PE 111,Intr Chem Engineering Professn,1,Fall2023,1
C&PE 127,Intro Petroleum Engr Professn,1,Fall2023,1
C&PE 211,Material and Energy Balances,4,Fall2023,1
C&PE 511,Momentum Transfer,3,Fall2023,1
C&PE 512,Chem Engnerng Thermodynmcs II,3,Fall2023,1
C&PE 527,Reservoir Engineering II,4,Fall2023,1
C&PE 528,Well Logging,3,Fall2023,1
C&PE 611,Design of Unit Operations,3,Fall2023,1
C&PE 615,Intro to Process Dynmcs&Contrl,3,Fall2023,1
C&PE 616,Chemical Engineering Labrtry I,4,Fall2023,1
C&PE 620,Enhanced Oil Recovery,3,Fall2023,1
C&PE 625,Unconventional Reservoirs,3,Fall2023,1
C&PE 627,Petroleum Production,3,Fall2023,1
C&PE 651,Undergraduate Problems,4,Fall2023,1
C&PE 655,Intro Semiconductor Processing,3,Fall2023,1
C&PE 656,Intr to Biomedical Engineering,3,Fall2023,1
C&PE 661,Undergraduate Honors Research,3,Fall2023,1
C&PE 678,Applied Optimization Methods,3,Fall2023,1
C&T 100,Introd to Education Profession,3,Fall2023,1
C&T 175,Intro to Career Development,5,Fall2023,1
C&T 220,Career Development,5,Fall2023,1
C&T 235,"Diversity,Equity,Inclusion K12",3,Fall2023,1
C&T 290,Intro Secondary Sci&Math Tchg,1,Fall2023,1
C&T 291,Intro to Science & Math Tchg 2,1,Fall2023,1
C&T 301,Eductnl Technlgy Elem-Middl Ed,3,Fall2023,1
C&T 302,Eductnl Tchnlgy Mid/Secndry Ed,3,Fall2023,1
C&T 330,Inst Aprc ESOL Lrnrs Elem/Erly,3,Fall2023,1
C&T 347,Social Stdies Elemntry Classrm,3,Fall2023,1
C&T 349,Science in Elementry Classroom,3,Fall2023,1
C&T 351,Mathematics Elementary Classrm,3,Fall2023,1
C&T 352,Litercy Instrctn Primary Grade,3,Fall2023,1
C&T 353,Litercy Practicm Primry Grades,1,Fall2023,1
C&T 356,Undrstnd Dyslexia Early Chldhd,1,Fall2023,1
C&T 360,Knowing&Learning Math&Science,3,Fall2023,1
C&T 366,Classrm Interactions Math&Sci,3,Fall2023,1
C&T 403,Professional Learning Sem III,1,Fall2023,1
C&T 430,Teachng Literatur Young Adults,3,Fall2023,1
C&T 448,Reading&Writing Across Curricm,3,Fall2023,1
C&T 449,Undrstnd Dyslexia Spprt Stdnts,1,Fall2023,1
C&T 460,Projct Basd Instructn Math&Sci,3,Fall2023,1
C&T 489,Advanced Teaching Practicum,1,Fall2023,1
C&T 490,Student Teaching,7,Fall2023,1
C&T 491,TESOL Practm KS State Endrsmnt,3,Fall2023,1
C&T 494,Internship,7,Fall2023,1
C&T 495,Sem:Devlpng Teaching Portfolio,3,Fall2023,1
C&T 540,Adv Prc Tchg Engl Midl&Sec Sch,3,Fall2023,1
C&T 541,Adv Prac Tchg Soc Stds Mid/Sec,3,Fall2023,1
C&T 544,Adv Prc:Situating Foreign Lang,3,Fall2023,1
CARI 100,Carillon,2,Fall2023,1
CARI 300,Carillon,2,Fall2023,1
CARI 621,Carillon,4,Fall2023,1
CE 191,Introduction to Civil Engineer,2,Fall2023,1
CE 201,Statics,2,Fall2023,1
CE 240,Geomatics,3,Fall2023,1
CE 250,Dynamics,3,Fall2023,1
