abbr_name,full_name,credits,semester,school
FREN 302,French Written and Oral Comm 2,3,Spring2023,1
FREN 315,Le Francais Pratique,6,Spring2023,1
FREN 352,French for Journalism&Business,3,Spring2023,1
FREN 435,Intro to Translation Studies,3,Spring2023,1
FREN 481,Sci-Fi & Fantasy in French,3,Spring2023,1
FREN 530,Studies in Film:,3,Spring2023,1
FREN 601,French for Reading Knowledge,3,Spring2023,1
FREN 610,Theme et Version,3,Spring2023,1
GEOG 142,Globl Env II:Ecol Hmn Civilztn,5,Spring2023,1
GEOG 145,"Glbl Evrn II:Eclgy Hmn Cvlz,Hn",5,Spring2023,1
GEOG 332,Glaciers and Landscape,3,Spring2023,1
GEOG 351,Africa's Human Geographies,3,Spring2023,1
GEOG 372,Environmental Policy,3,Spring2023,1
GEOG 395,Environmental Issues of:,3,Spring2023,1
GEOG 399,Topics in Regional Studies:,3,Spring2023,1
GEOG 500,Senior Capstone in Geography,3,Spring2023,1
GEOG 526,Remote Sensing Environment I,4,Spring2023,1
GEOG 528,Spatial Databases,3,Spring2023,1
GEOG 558,Intermediate Geogr Info Systms,4,Spring2023,1
GEOL 301,Introduction to Oceanography,3,Spring2023,1
GEOL 304,Historical Geology,3,Spring2023,1
GEOL 331,Sedimentolgy and Stratigraphy,4,Spring2023,1
GEOL 332,Sedimentology Petroleum Engnrs,4,Spring2023,1
GEOL 502,Linear Algebra Earth Scientsts,2,Spring2023,1
GEOL 503,Numericl Mthds in Earth Scienc,3,Spring2023,1
GEOL 512,Igneous &Metamorphic Petrology,3,Spring2023,1
GEOL 513,Petrology Laboratory,1,Spring2023,1
GEOL 521,Paleontology,3,Spring2023,1
GEOL 523,Paleontology Laboratory,1,Spring2023,1
GEOL 552,Introduction to Hydrogeology,3,Spring2023,1
GEOL 562,Structural Geology,4,Spring2023,1
GERM 100,German Reading Course I,3,Spring2023,1
GERM 112,Introduction to German II,3,Spring2023,1
GERM 302,High Intermediate German II,3,Spring2023,1
GERM 362,Grmn&Grmny in Glbl Bus Cultr I,3,Spring2023,1
GERM 580,Sr Cpstn Crs:Germ-Spk Eurp Tdy,3,Spring2023,1
GIST 304,Global &Afro-Brazilian Culture,3,Spring2023,1
GIST 308,Key Themes Modern Global Hist,3,Spring2023,1
GIST 501,Topics in:  _____,3,Spring2023,1
GIST 535,Lit&Soc Cntmporary Middle East,3,Spring2023,1
